Item,Date,Unit Price,Quantity,Total Price,Coupon Used,UPC
"Honest® Clean Conscious Diapers™ Size 6 (35+ lbs), 40 count","July 11, 2025",28.99,1,28.99,Yes,0081009455289
"Kroger® 1% Lowfat Milk Gallon, 1 gal","July 11, 2025",2.79,1,2.79,No,0001111041660
"Kroger® Frozen Broccoli Florets, 12 oz","July 11, 2025",1.49,1,1.49,No,0001111012883
"Kroger® Fruit Flavored Freezer Pops, 36 ct","July 11, 2025",3,1,3,Yes,0001111002915
"Kroger® Gala Apples – 3 Pound Bag, 3 lb","July 11, 2025",3.99,1,3.99,No,0001111091825
"Kroger® Meal Ready Sides Frozen Peas & Carrots, 12 oz","July 11, 2025",1.25,1,1.25,No,0001111089741
"Kroger® Traditional Favorites Frozen Green Beans Cut, 12 oz","July 11, 2025",1.25,1,1.25,No,0001111089730
"Kroger® White American Cheese Fresh Sliced Deli Cheese, 1 lb","July 11, 2025",8.99,1 lbs,8.99,No,0021635000000
"Simple Mills® Sweet Thins® Lemon Seed & Nut Flour Cookies, 4.25 oz","July 11, 2025",3.79,1,3.79,Yes,0085606900566
"Simple Truth® Wild Caught Sockeye Salmon Portions Frozen Skin On, 12 ounces","July 11, 2025",12.99,1,12.99,Yes,0001111062921
"Stonyfield Organic YoBaby Peach & Oat Whole Milk Baby Yogurt, 3.4 oz Pouches, 4 ct Pack, 4 ct","July 11, 2025",6.24,1,6.24,Yes,0005215970476
"Sun-Maid® California Sun-Dried Raisins, 20 oz","July 11, 2025",5.79,1,5.79,No,0004114312870
"Birds Eye Baby Broccoli Florets Frozen Vegetables, 12.600 oz","July 6, 2025",2,2,4,Yes,0001450000256
"Boar’s Head EverRoast Chicken Breast, 1 lb","July 6, 2025",10.98,1.1 lbs,12.09,Yes,0027593500000
"Chobani 20G Protein Lowfat Greek Yogurt Drink Vanilla, 10 fl oz","July 6, 2025",2.99,4,11.96,No,0081829001774
"Evolution Fresh® Organic Pure Orange Cold-Pressed Orange Juice, 59 fl oz.","July 6, 2025",10.99,1,10.99,No,0076235705959
"Fresh Blackberries - 6 OZ Clamshell, 6 oz","July 6, 2025",3.29,1,3.29,No,0003338324000
"Fresh Bunch of Bananas – 5-7 Bananas, 1 bunch","July 6, 2025",0.55,2.61 lbs,1.44,No,0000000004011
"Fresh Strawberries – 1 LB Clamshell, 1 lb","July 6, 2025",2.69,1,2.69,No,0003338320027
"Garden Fresh Gourmet Jack's Special Medium Salsa, 16 oz","July 6, 2025",0,1,0,Yes,0064767100014
"Garden Fresh Gourmet® Jack's Special Seasoned Tortilla Chips, 14 oz","July 6, 2025",4.99,1,4.99,No,0064767150256
"Hellmann's Light Mayo, 30 oz","July 6, 2025",2.99,1,2.99,Yes,0004800121358
"Jif Natural Creamy Peanut Butter Spread, 40 oz","July 6, 2025",7.49,1,7.49,No,0005150024321
"Kraft Tartar Sauce, 12 fl oz","July 6, 2025",3.19,1,3.19,No,0002100002689
"Kroger® Broccoli Florets BIG Deal!, 32 oz","July 6, 2025",6,1,6,No,0001111079549
"Kroger® Carrots Baby Cut Bag BIG Deal!, 3 lb","July 6, 2025",2.99,1,2.99,No,0001111018251
"Kroger® Chewy Chocolate Chip Granola Bars, 36 ct","July 6, 2025",7.99,1,7.99,No,0001111013075
"Kroger® Colby Jack Block Cheese, 8 oz","July 6, 2025",1.49,1,1.49,Yes,0001111058678
"Kroger® Honey Wheat Bread, 20 oz","July 6, 2025",2.19,2,4.38,Yes,0001111008449
"Kroger® Medium Cheddar Block Cheese, 8 oz","July 6, 2025",1.49,1,1.49,Yes,0001111058626
"Kroger® Nonstick Extra Virgin Olive Oil Cooking Spray, 5 oz","July 6, 2025",4.29,1,4.29,No,0001111014538
"Kroger® Strawberry Preserves, 18 oz","July 6, 2025",2.59,1,2.59,No,0001111067617
"Kroger® White American Cheese Fresh Sliced Deli Cheese, 1 lb","July 6, 2025",8.98,1.06 lbs,9.53,No,0021635000000
"Kroger® Wild Caught Flounder Fillets Frozen BIG DEAL!, 32 ounces","July 6, 2025",10.99,1,10.99,Yes,0001111062866
"Laura’s Lean Beef® 92% Lean All Natural Ground Beef, 16 oz","July 6, 2025",9.99,1,9.99,No,0061266931671
"Nathan's Famous Bun Length Skinless Beef Hot Dog Franks, 12 oz","July 6, 2025",4.99,1,4.99,Yes,0088831391490
"Outshine® Lemon Fruit Bars, 6 ct","July 6, 2025",2.5,2,5,Yes,0004154861404
"Red Seedless Grapes, 1 lb","July 6, 2025",3.29,2.3 lbs,7.57,No,0000000004023
"Romaine Lettuce Hearts, 18 oz","July 6, 2025",3.99,1,3.99,No,0001111091629
"Simple Truth Organic® Plain Nonfat Greek Yogurt Tub, 32 oz","July 6, 2025",4.99,1,4.99,No,0001111010760
"Simple Truth Organic® Vanilla Nonfat Greek Yogurt Tub, 32 oz","July 6, 2025",4.99,2,9.98,No,0001111010829
"Simple Truth™ Natural Cage Free Large Brown Eggs, 18 ct","July 6, 2025",5.29,1,5.29,No,0001111089310
"Starbucks® Medium Roast Unsweetened Black Iced Coffee Carton, 48 fl oz","July 6, 2025",5.99,1,5.99,Yes,0004850002238
"Stonyfield Organic YoBaby Peach & Oat Whole Milk Baby Yogurt, 3.4 oz Pouches, 4 ct Pack, 4 ct","July 6, 2025",5.99,1,5.99,Yes,0005215970476
"Welch's® Concord Grape Jelly, 30 oz.","July 6, 2025",3.19,1,3.19,No,0004180050150
5pk Bodysuit Balloon/koala,"July 3, 2025",15,1,15,Yes,0019723321321
"Almond Breeze® Dairy Free Unsweetened Vanilla Almond Milk Half Gallon, 1/2 gal","July 3, 2025",3.79,1,3.79,No,0004157005618
"Bakery Fresh Patriotic Red Velvet Mini Cupcakes with Buttercreme Icing, 12 ct / 10 oz","July 3, 2025",5,1,5,No,0001111064836
"Beech-Nut® Veggies Stage 2 Vegetable Variety Pack Baby Food Pouches, 9 ct / 3.5 oz","July 3, 2025",11.79,1,11.79,No,0005220020019
"Boar's Head Grab & Go Colby Jack Cheese Fresh Sliced Deli Cheese, 1 lb","July 3, 2025",11.98,0.73 lbs,8.75,No,0028614100000
"Boar's Head Grab & Go Maple Honey Turkey Fresh Sliced Deli Meat, 1 lb","July 3, 2025",13.48,0.8 lbs,10.79,No,0028593800000
"Boar's Head Grab & Go Yellow American Cheese Fresh Sliced Deli Cheese, 1 lb","July 3, 2025",10.98,0.76 lbs,8.35,No,0028634100000
"Boars Head Grab & Go Everroast Chicken Breast Fresh Sliced Deli Meat, 1 lb","July 3, 2025",14.98,0.74 lbs,11.09,No,0028593500000
"Buckeye Sushi Roll, 10 oz","July 3, 2025",9.99,1,9.99,No,0063912389179
"Earth's Best Organic Sesame Street Crunchin' Grahams Honey Sticks, 5.3 oz","July 3, 2025",4.19,1,4.19,Yes,0002392320301
"Fresh Blueberries - 18 OZ - Clamshell, 18 oz","July 3, 2025",4.99,1,4.99,Yes,0003338322241
"Fresh Bunch of Bananas – 5-7 Bananas, 1 bunch","July 3, 2025",0.54,5.66 lbs,3.11,No,0000000004011
"Fresh Strawberries – 1 LB Clamshell, 1 lb","July 3, 2025",2.69,1,2.69,No,0003338320027
"Glad ForceFlex with Febreze Gain Fresh Clean Scent Tall Kitchen Drawstring Trash Bags, 110 ct","July 3, 2025",21.99,1,21.99,No,0001258778554
"Home Chef Garlic & Herb Hot Fresh Roasted Chicken, 32 oz","July 3, 2025",5,1,5,Yes,0084013430121
"Home Chef Popcorn Chicken Hot (Available 11AM-7PM DAILY), 5 oz","July 3, 2025",2.99,2,5.98,No,0084013430008
"Kroger® 1% Lowfat Milk Gallon, 1 gal","July 3, 2025",2.59,1,2.59,No,0001111041660
"Kroger® Chocolate Covered Pretzels, 8 oz","July 3, 2025",3.99,1,3.99,No,0001111062957
"Kroger® Select-A-Sheet Paper Towels Double Rolls, 6 rolls","July 3, 2025",9.99,1,9.99,No,0001111014186
"Oikos® Triple Zero Nonfat Vanilla Yogurt-Cultured Dairy Product, 32 fl oz","July 3, 2025",6.49,1,6.49,Yes,0003663201944
"Private Selection™ Mini Seedless Cucumbers, 1 lb","July 3, 2025",3.99,1,3.99,No,0001111022298
"Seedless Mandarin Clementine Oranges in 3lb Bag, 3 lb","July 3, 2025",5.49,1,5.49,No,0003338314616
"Simple Truth Organic® 4-Flavor Baby Food Puree Variety Pack BIG DEAL!, 12 ct / 48 oz","July 3, 2025",11.49,1,11.49,No,0004126000827
"Simple Truth Organic® Baby Spinach BIG DEAL!, 16 oz","July 3, 2025",4,1,4,Yes,0001111091151
"Starbucks® Blonde Roast Unsweetened Black Iced Coffee Carton, 48 fl oz","July 3, 2025",4.99,3,14.97,Yes,0004850020183
"Starbucks® Medium Roast Unsweetened Black Iced Coffee Carton, 48 fl oz","July 3, 2025",4.99,1,4.99,Yes,0004850002238
"Taylor Farms Maple Bourbon Bacon Mini Chopped Salad Kit, 4.4oz","July 3, 2025",2.99,1,2.99,No,0003022306241
"Taylor Farms Sweet Kale Mini Chopped Salad Kit, 4.5 oz","July 3, 2025",2.99,1,2.99,No,0003022306242
"Zespri™ Sungold™ Fresh Kiwi Fruit, 1 lb","July 3, 2025",4.79,1,4.79,No,0081884902001
"Zucchini, 1 lb","July 3, 2025",1.48,1.76 lbs,2.62,No,0000000004067
"Banzai® Mermaid Lagoon Splash Park™, 1 ct","June 28, 2025",16.19,1,16.19,Yes,0019112413536
"Banzai® Pool-Time Dive Rings, 6 pk","June 28, 2025",2.99,1,2.99,Yes,0019112485848
"Crayola® Washable Sidewalk Chalk, 48 ct","June 28, 2025",4.99,1,4.99,Yes,0007166261248
"Dixie® 8.5 Inch Disposable Paper Plates, 154 ct","June 28, 2025",10.49,1,10.49,No,0004200015717
"Dixie® Paper Bowls 10 Ounce Disposable Bowl, 36 ct","June 28, 2025",3.59,1,3.59,Yes,0004200015134
"Honest® Clean Conscious Diapers™ Size 6 (35+ lbs), 40 count","June 28, 2025",31.99,1,31.99,No,0081009455289
"Kroger® Celebration Clear Plastic Spoons, 48 ct","June 28, 2025",4.19,1,4.19,No,0001111011688
"Kroger® Celebration Plastic Forks, 48 ct","June 28, 2025",4.19,1,4.19,No,0001111011687
"Owala Kids FreeSip Bunny Business Bottle, 16 oz.","June 28, 2025",24.99,1,24.99,No,0084728008782
"Owala Kids FreeSip Sandbox Bottle, 16 oz","June 28, 2025",24.99,1,24.99,No,0084728008784
"Pampers Swaddlers Overnight Diapers Size 6, 42 count","June 28, 2025",31.99,1,31.99,No,0003700077584
"Sunny Days Maxx Bubble Mower - John Deere, 1 ct","June 28, 2025",14.99,1,14.99,Yes,0081000920907
"Boar's Head Dark Chocolate Dessert Hummus 10 oz, 10 oz","June 23, 2025",4.99,1,4.99,No,0004242116301
"BODYARMOR® Lyte Peach Mango Sports Drink Bottles, 8 bottles / 12 fl oz","June 23, 2025",6.99,1,6.99,Yes,0085817600279
"Chosen Foods 100% Pure Avocado Oil, 25.4 fl oz","June 23, 2025",17.49,1,17.49,No,0085380700582
"Daisy Pure and Natural Light Squeeze Sour Cream, 14 oz","June 23, 2025",3.29,1,3.29,No,0007342011614
"Fresh Blackberries, 6 oz","June 23, 2025",2.77,1,2.77,Yes,0003338324000
"Fresh Bunch of Bananas – 5-7 Bananas, 1 bunch","June 23, 2025",0.54,5.11 lbs,2.81,No,0000000004011
"Fresh Strawberries, 1 lb","June 23, 2025",2.69,1,2.69,No,0003338320027
"Garden Fresh Gourmet Jack's Special Medium Salsa, 16 oz","June 23, 2025",4.99,1,4.99,No,0064767100014
"General Mills Honey Nut Cheerios Heart Healthy Breakfast Cereal Giant Size, 27.2 oz","June 23, 2025",3.99,1,3.99,Yes,0001600012495
"Happy Baby Clearly Crafted Stage 2 Apples Blueberries & Oats Pouch, 4 fl oz","June 23, 2025",1.99,4,7.96,No,0081957301323
"Kroger® 1% Lowfat Milk Gallon, 1 gal","June 23, 2025",2.59,1,2.59,No,0001111041660
"Kroger® 90 Second Jasmine Rice Pouch, 8.8 oz","June 23, 2025",1.5,4,6,Yes,0001111001950
"Kroger® Broccoli Florets BIG Deal!, 32 oz","June 23, 2025",6,1,6,No,0001111079549
"Kroger® Frozen Broccoli Florets, 12 oz","June 23, 2025",1.59,1,1.59,No,0001111012883
"Kroger® Gala Apples – 3 Pound Bag, 3 lb","June 23, 2025",3.99,1,3.99,No,0001111091825
"Kroger® Honey Wheat Bread, 20 oz","June 23, 2025",2.19,1,2.19,Yes,0001111008449
"Kroger® Pink Lady® Apples – 3 Pound Bag, 3 lb","June 23, 2025",4.49,1,4.49,No,0001111014902
"Kroger® Traditional Favorites Frozen Green Beans Cut, 12 oz","June 23, 2025",1.25,1,1.25,No,0001111089730
"Nature Valley Protein Oats and Honey Family Size Granola, 17 oz","June 23, 2025",6.99,2,13.98,No,0001600018587
"Newman's Own Mango Salsa, 16 oz","June 23, 2025",3.99,1,3.99,Yes,0002066200350
"Private Selection® Golden Roasted Lower Sodium† Deli Chicken Breast Sliced, 1 lb","June 23, 2025",9.49,1 lbs,9.49,Yes,0024581150000
"Red Seedless Grapes, 1 lb","June 23, 2025",3.29,2.06 lbs,6.78,No,0000000004023
"Simple Truth Organic® Baby Spinach BIG DEAL!, 16 oz","June 23, 2025",5,1,5,No,0001111091151
"Simple Truth Organic® Baby Spring Mix BIG DEAL!, 16 oz","June 23, 2025",5,1,5,No,0001111091130
"Simple Truth Organic® Blueberries, 1 pt","June 23, 2025",3.99,1,3.99,No,0001111001623
"Simple Truth® Natural Boneless Skinless Fresh Chicken Breast Cutlets, 1 each","June 23, 2025",6.98,3.43 lbs,23.97,No,0024096150000
"Simple Truth™ Natural Cage Free Large Brown Eggs, 18 ct","June 23, 2025",6.79,1,6.79,No,0001111089310
"Stok® Unsweet Cold Brew Slow Roast Black Iced Coffee Carton, 48 fl. oz.","June 23, 2025",6.49,1,6.49,No,0004127102773
"Stonyfield Organic YoBaby Whole Milk Baby Yogurt Pouches, Peach & Oat, 4 Ct, 4 ct","June 23, 2025",5.99,1,5.99,Yes,0005215970476
"Zucchini, 1 lb","June 23, 2025",1.48,0.41 lbs,0.61,No,0000000004067
"Boogie Wipes® Fresh Scent Gentle Saline Nose Wipes, 45 ct","June 21, 2025",6.49,1,6.49,No,0081616701050
"Children's Benadryl Allergy & Congestion Relief Liquid Diphenhydramine HCl & Phenylephrine HCl Grape, 4 fl oz","June 21, 2025",9.59,1,9.59,No,0030045017005
"Zyrtec 24 Hr Children's Allergy Relief Syrup, Grape Flavor, 4 fl. oz, 4 oz.","June 21, 2025",15.99,1,15.99,No,0030045020907
